business_code,cust_number,name_customer,clear_date,buisness_year,due_in_date,posting_id,baseline_create_date,cust_payment_terms,target,amount_in_usd,cust_payment_terms_grp,baseline_month,baseline_day,baseline_dayofweek,Allowed_Pay_Days
U001,0200726979,BJ'S  trust,2019-01-15,2019.0,2019-01-15,1.0,2018-12-31,NAA8,0,4.811615087679249,NAA8,12,31,0,15
U001,0200769623,WAL-MAR corp,2019-01-11,2019.0,2019-01-15,1.0,2018-12-31,NAH4,0,10.014194948120286,NAH4,12,31,0,15
U001,0200771157,WEIS associates,2019-01-16,2019.0,2019-01-15,1.0,2018-12-31,NAA8,1,11.407163424267566,NAA8,12,31,0,15
U001,0200769623,WAL-MAR us,2019-01-10,2019.0,2019-01-15,1.0,2018-12-31,NAH4,0,9.956640566572602,NAH4,12,31,0,15
U001,0200148860,DOLLA trust,2019-01-15,2019.0,2019-01-15,1.0,2018-12-31,NAA8,0,11.054026351734791,NAA8,12,31,0,15
U001,0200769623,WAL-MAR corp,2019-01-10,2019.0,2019-01-15,1.0,2018-12-31,NAH4,0,10.566304640986957,NAH4,12,31,0,15
U001,0200900909,SYSCO systems,2019-01-17,2019.0,2019-01-15,1.0,2018-12-31,NAA8,1,6.818038427312331,NAA8,12,31,0,15
U001,0200337148,COAS llc,2019-01-15,2019.0,2019-01-15,1.0,2018-12-31,NAA8,0,9.241641345076786,NAA8,12,31,0,15
U001,0200769623,WAL-MAR foundation,2019-01-10,2019.0,2019-01-15,1.0,2018-12-31,NAH4,0,9.663603406116549,NAH4,12,31,0,15
U001,0200915438,GROC systems,2019-01-15,2019.0,2019-01-15,1.0,2018-12-31,NAA8,0,9.977678556956862,NAA8,12,31,0,15
U001,0200752393,S AB systems,2019-01-10,2019.0,2019-01-15,1.0,2018-12-31,NAA8,0,10.938151723522019,NAA8,12,31,0,15
U001,0200794332,COST corporation,2019-01-16,2019.0,2019-01-15,1.0,2018-12-31,NAAX,1,8.99250644960077,NAAX,12,31,0,15
U001,0200769623,WAL-MAR foundation,2019-01-10,2019.0,2019-01-15,1.0,2018-12-31,NAH4,0,7.321109188510539,NAH4,12,31,0,15
U001,0200726979,BJ'S  corp,2019-01-15,2019.0,2019-01-15,1.0,2018-12-31,NAA8,0,5.677267369000446,NAA8,12,31,0,15
U002,0200806643,PLAZA WA us,2019-02-04,2019.0,2019-02-04,1.0,2018-12-31,NAG2,0,10.056222802543624,NAG2,12,31,0,35
U001,0200726979,BJ'S  trust,2019-01-15,2019.0,2019-01-15,1.0,2018-12-31,NAA8,0,4.5081084731449605,NAA8,12,31,0,15
U001,0200726979,BJ'S  llc,2019-01-15,2019.0,2019-01-15,1.0,2018-12-31,NAA8,0,5.6668418268439185,NAA8,12,31,0,15
U001,0200132251,SUPERB systems,2019-01-15,2019.0,2019-01-15,1.0,2018-12-31,NAA8,0,9.511007768985282,NAA8,12,31,0,15
U001,0200865666,RESTAU in,2019-01-15,2019.0,2019-01-15,1.0,2018-12-31,NAA8,0,7.728943809422966,NAA8,12,31,0,15
U001,0200900909,SYSCO foundation,2019-01-17,2019.0,2019-01-15,1.0,2018-12-31,NAA8,1,9.057546937341494,NAA8,12,31,0,15
U001,0200769623,WAL-MAR in,2019-01-14,2019.0,2019-01-15,1.0,2018-12-31,NAH4,0,10.680230889018274,NAH4,12,31,0,15
U001,0200762301,C&S WH foundation,2019-01-15,2019.0,2019-01-15,1.0,2018-12-31,NAC6,0,10.02011391950913,NAC6,12,31,0,15
U001,0200769623,WAL-MAR ,2019-01-10,2019.0,2019-01-15,1.0,2018-12-31,NAH4,0,9.690654415752029,NAH4,12,31,0,15
