business_code,cust_number,name_customer,clear_date,buisness_year,due_in_date,posting_id,baseline_create_date,cust_payment_terms,target_old,amount_in_usd,cust_payment_terms_grp,baseline_month,baseline_day,baseline_dayofweek,Allowed_Pay_Days,business_days_late,target,due_weekend_flag,business_day_gap,amount_bin,cust_allowed_pay_days_late_rate_past,ratio_paid_invoices_late_past,avg_days_late_paid_late_past,sum_outstanding_amount_past,recent_5_late_rate
U001,0200769623,WAL-MAR foundation,2019-01-10,2019.0,2019-01-15,1.0,2018-12-31,NAH4,0,7.321109188510539,NAH4,12,31,0,15,-3,0,0,0,0,0.0,0.0,0.0,375.15654765921033,0.0
U001,0200726979,BJ'S  corp,2019-01-15,2019.0,2019-01-15,1.0,2018-12-31,NAA8,0,5.677267369000446,NAA8,12,31,0,15,0,0,0,0,0,0.0,0.0,0.0,32.35333406999427,0.0
U002,0200806643,PLAZA WA us,2019-02-04,2019.0,2019-02-04,1.0,2018-12-31,NAG2,0,10.056222802543624,NAG2,12,31,0,35,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0
U001,0200726979,BJ'S  trust,2019-01-15,2019.0,2019-01-15,1.0,2018-12-31,NAA8,0,4.5081084731449605,NAA8,12,31,0,15,0,0,0,0,0,0.0,0.0,0.0,32.35333406999427,0.0
U001,0200726979,BJ'S  llc,2019-01-15,2019.0,2019-01-15,1.0,2018-12-31,NAA8,0,5.666841826843919,NAA8,12,31,0,15,0,0,0,0,0,0.0,0.0,0.0,32.35333406999427,0.0
U001,0200132251,SUPERB systems,2019-01-15,2019.0,2019-01-15,1.0,2018-12-31,NAA8,0,9.511007768985282,NAA8,12,31,0,15,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
U001,0200865666,RESTAU in,2019-01-15,2019.0,2019-01-15,1.0,2018-12-31,NAA8,0,7.728943809422966,NAA8,12,31,0,15,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
U001,0200900909,SYSCO foundation,2019-01-17,2019.0,2019-01-15,1.0,2018-12-31,NAA8,1,9.057546937341494,NAA8,12,31,0,15,2,0,0,0,1,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR in,2019-01-14,2019.0,2019-01-15,1.0,2018-12-31,NAH4,0,10.680230889018274,NAH4,12,31,0,15,-1,0,0,0,2,0.0,0.0,0.0,375.15654765921033,0.0
U001,0200762301,C&S WH foundation,2019-01-15,2019.0,2019-01-15,1.0,2018-12-31,NAC6,0,10.02011391950913,NAC6,12,31,0,15,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0
U001,0200769623,WAL-MAR ,2019-01-10,2019.0,2019-01-15,1.0,2018-12-31,NAH4,0,9.690654415752029,NAH4,12,31,0,15,-3,0,0,0,1,0.0,0.0,0.0,375.15654765921033,0.0
U001,CCCA02,KRAFT  systems,2019-03-01,2019.0,2019-02-04,1.0,2018-12-31,NAG2,1,9.343117980576896,NAG2,12,31,0,35,19,1,0,0,1,0.0,0.0,0.0,0.0,0.0
U001,0200744019,TARG ,2019-01-22,2019.0,2019-01-15,1.0,2018-12-31,NAA8,1,9.62417171864173,NAA8,12,31,0,15,5,0,0,0,1,0.0,0.0,0.0,9.33345936826172,0.0
